mowgli-openmower | [ WARN] [1726489447.010208047]: got vx > 0.6 (-0.951233) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.031047305]: got vx > 0.6 (-0.931776) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.053897087]: got vx > 0.6 (-0.909773) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.074491273]: got vx > 0.6 (-0.894321) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.095066812]: got vx > 0.6 (-0.877102) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.116975859]: got vx > 0.6 (-0.860534) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.138122412]: got vx > 0.6 (-0.843835) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.158459341]: got vx > 0.6 (-0.829207) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.179141619]: got vx > 0.6 (-0.812965) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.201664292]: got vx > 0.6 (-0.799412) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.224421963]: got vx > 0.6 (-0.782971) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.244061397]: got vx > 0.6 (-0.771684) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.264276494]: got vx > 0.6 (-0.758109) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.287051998]: got vx > 0.6 (-0.744516) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.308226810]: got vx > 0.6 (-0.733802) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.328246870]: got vx > 0.6 (-0.721456) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.349551959]: got vx > 0.6 (-0.710189) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.368823729]: got vx > 0.6 (-0.700294) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.389809191]: got vx > 0.6 (-0.689674) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.411725627]: got vx > 0.6 (-0.678888) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.431952538]: got vx > 0.6 (-0.668902) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.452433374]: got vx > 0.6 (-0.659661) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.473071337]: got vx > 0.6 (-0.650229) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.495352049]: got vx > 0.6 (-0.641751) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.516033549]: got vx > 0.6 (-0.632836) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.536495589]: got vx > 0.6 (-0.624573) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.558982447]: got vx > 0.6 (-0.615333) - dropping measurement
mowgli-openmower | [ WARN] [1726489447.579271487]: got vx > 0.6 (-0.607518) - dropping measurement
mowgli-openmower | [WARN] [1726489447.601434]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489447.607851]: Expected Checksum: 0xE9AA0A
mowgli-openmower | [WARN] [1726489447.614194]: Actual Checksum:   0x581FEB
mowgli-openmower | [WARN] [1726489447.622427]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489447.632170]: Expected Checksum: 0x33F4C
mowgli-openmower | [WARN] [1726489447.643554]: Actual Checksum:   0x15F59B
mowgli-openmower | [ INFO] [1726489447.974801999]: FTCLocalPlannerROS: POST_ROTATE finished.
mowgli-openmower | [ INFO] [1726489447.974920294]: FTCLocalPlannerROS: Switching to state 4
mowgli-openmower | [ INFO] [1726489448.024576737]: Action "move_base" succeeded!
mowgli-openmower | [ INFO] [1726489448.058243922]: MowingBehavior: (FIRST POINT)  Got status 6 from MBF/FTCPlanner -> Stopping path execution.
mowgli-openmower | [ INFO] [1726489448.061646991]: Clearing Nav Point
mowgli-openmower | [ INFO] [1726489448.062410652]: MowingBehavior: (MOW) First point reached - Executing mow path with 636 poses, from index 278
mowgli-openmower | [ INFO] [1726489448.077151676]: FTCLocalPlannerROS: Got new global plan with 358 points.
mowgli-openmower | [ INFO] [1726489448.078469963]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
mowgli-openmower | [ INFO] [1726489448.079023570]: FTCLocalPlannerROS: Switching to state 1
mowgli-openmower | [ WARN] [1726489448.257625389]: #### om_mower_logic: setMowerEnabled(1, 0) call
mowgli-openmower | [ INFO] [1726489448.269444971]: successfully set mower enabled to 1 (direction 0)
mowgli-openmower | [ WARN] [1726489448.269566174]: #### om_mower_logic: setMowerEnabled(1, 0) call completed within 0.0119837s
mowgli-openmower | [WARN] [1726489448.800226]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489448.804052]: Expected Checksum: 0xEE03A
mowgli-openmower | [WARN] [1726489448.807736]: Actual Checksum:   0xE31718
mowgli-openmower | [ INFO] [1726489449.067078392]: MowingBehavior: (MOW) Progress: 278/636
mowgli-openmower | [WARN] [1726489450.300494]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489450.304167]: Expected Checksum: 0xE9AA0A
mowgli-openmower | [WARN] [1726489450.308714]: Actual Checksum:   0x61D456
mowgli-openmower | [ WARN] [1726489451.510168168]: got vx > 0.6 (1.59091) - dropping measurement
mowgli-openmower | [ WARN] [1726489451.528677999]: got vx > 0.6 (1.62602) - dropping measurement
mowgli-openmower | [ WARN] [1726489451.549971903]: got vx > 0.6 (1.20968) - dropping measurement
mowgli-openmower | [ WARN] [1726489451.570638607]: got vx > 0.6 (0.963855) - dropping measurement
mowgli-openmower | [ WARN] [1726489451.633751324]: got vx > 0.6 (0.634921) - dropping measurement
mowgli-openmower | [WARN] [1726489451.700505]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489451.704254]: Expected Checksum: 0xE9AA0A
mowgli-openmower | [WARN] [1726489451.707842]: Actual Checksum:   0x4406CA
mowgli-openmower | [WARN] [1726489452.701704]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489452.710127]: Expected Checksum: 0xE9AA0A
mowgli-openmower | [WARN] [1726489452.717261]: Actual Checksum:   0xAE161
mowgli-openmower | [ INFO] [1726489452.757748158]: GPS quality: 0.93
mowgli-openmower | [ INFO] [1726489454.068659028]: MowingBehavior: (MOW) Progress: 284/636
mowgli-openmower | [ INFO] [1726489459.166536533]: MowingBehavior: (MOW) Progress: 299/636
mowgli-openmower | [WARN] [1726489460.600269]: Found packet, but checksums didn't match
mowgli-openmower | [WARN] [1726489460.603876]: Expected Checksum: 0xDAE057
mowgli-openmower | [WARN] [1726489460.608008]: Actual Checksum:   0x9FF106
mowgli-openmower | [WARN] [1726489462.200876]: Found packet, but checksums didn't match
