mowgli-openmower            | [ INFO] [1697220877.208778417]: GPS quality: 0.907805
mowgli-openmower            | [ INFO] [1697220879.163854864]: MowingBehavior: (MOW) Progress: 104/789
mowgli-openmower            | [ INFO] [1697220884.261982636]: MowingBehavior: (MOW) Progress: 112/789
mowgli-openmower            | [ INFO] [1697220887.209273919]: GPS quality: 0.910978
mowgli-openmower            | [ INFO] [1697220889.362054261]: MowingBehavior: (MOW) Progress: 120/789
mowgli-openmower            | [ INFO] [1697220894.460078712]: MowingBehavior: (MOW) Progress: 127/789
mowgli-openmower            | [ INFO] [1697220897.708702799]: GPS quality: 0.913977
mowgli-openmower            | [ INFO] [1697220899.463405440]: MowingBehavior: (MOW) Progress: 139/789
mowgli-openmower            | [ INFO] [1697220904.464154476]: MowingBehavior: (MOW) Progress: 152/789
mowgli-openmower            | [ INFO] [1697220907.708720800]: GPS quality: 0.910978
mowgli-openmower            | [ INFO] [1697220909.561641286]: MowingBehavior: (MOW) Progress: 160/789
mowgli-openmower            | [ INFO] [1697220914.563198521]: MowingBehavior: (MOW) Progress: 168/789
mowgli-openmower            | [ INFO] [1697220917.708882422]: GPS quality: 0.913977
mowgli-openmower            | [ INFO] [1697220919.662700663]: MowingBehavior: (MOW) Progress: 182/789
mowgli-openmower            | [ WARN] [1697220924.386064572]: [driver_gps] not all data has been written to serial. tx_buffer size: 24, written: 0
mowgli-openmower            | [ WARN] [1697220924.485396155]: [driver_gps] not all data has been written to serial. tx_buffer size: 24, written: 0
mowgli-openmower            | [ WARN] [1697220924.584782935]: [driver_gps] not all data has been written to serial. tx_buffer size: 24, written: 0
mowgli-openmower            | [ WARN] [1697220924.684122388]: [driver_gps] not all data has been written to serial. tx_buffer size: 24, written: 0
mowgli-openmower            | [ INFO] [1697220924.759926863]: MowingBehavior: (MOW) Progress: 192/789
mowgli-openmower            | [ WARN] [1697220924.783500818]: [driver_gps] not all data has been written to serial. tx_buffer size: 24, written: 0
mowgli-openmower            | [ WARN] [1697220924.882891856]: [driver_gps] not all data has been written to serial. tx_buffer size: 24, written: 0
mowgli-openmower            | [ WARN] [1697220924.982220551]: [driver_gps] not all data has been written to serial. tx_buffer size: 24, written: 0
mowgli-openmower            | [ WARN] [1697220925.081609089]: [driver_gps] not all data has been written to serial. tx_buffer size: 24, written: 0
mowgli-openmower            | [ERROR] [1697220925.152143863]: [driver_gps] waited 759 ms to write to the tx buffer, serial port is probably congested!
mowgli-openmower            | [ INFO] [1697220928.208830525]: GPS quality: 0.913977
mowgli-openmower            | [ INFO] [1697220929.762836115]: MowingBehavior: (MOW) Progress: 201/789
mowgli-openmower            | [ INFO] [1697220934.763173932]: MowingBehavior: (MOW) Progress: 216/789
mowgli-openmower            | [ INFO] [1697220938.708882870]: GPS quality: 0.913977
mowgli-openmower            | [ INFO] [1697220939.865872354]: MowingBehavior: (MOW) Progress: 228/789
mowgli-openmower            | [ INFO] [1697220944.961779124]: MowingBehavior: (MOW) Progress: 239/789
mowgli-openmower            | [ INFO] [1697220949.208716162]: GPS quality: 0.913977
mowgli-openmower            | [ INFO] [1697220949.963623194]: MowingBehavior: (MOW) Progress: 248/789
mowgli-openmower            | [ INFO] [1697220955.060086429]: MowingBehavior: (MOW) Progress: 256/789
mowgli-openmower            | [ INFO] [1697220959.708711958]: GPS quality: 0.913977
mowgli-openmower            | [ INFO] [1697220960.062876911]: MowingBehavior: (MOW) Progress: 264/789
mowgli-openmower            | [ INFO] [1697220965.062246144]: MowingBehavior: (MOW) Progress: 276/789
mowgli-openmower            | [ INFO] [1697220969.708716602]: GPS quality: 0.913977
mowgli-openmower            | [ INFO] [1697220970.063180943]: MowingBehavior: (MOW) Progress: 285/789
mowgli-openmower            | [ INFO] [1697220975.162907542]: MowingBehavior: (MOW) Progress: 294/789
mowgli-openmower            | [ INFO] [1697220979.708736335]: GPS quality: 0.907805
mowgli-openmower            | [ INFO] [1697220980.264915023]: MowingBehavior: (MOW) Progress: 304/789
mowgli-openmower            | [ INFO] [1697220985.361762930]: MowingBehavior: (MOW) Progress: 310/789
mowgli-openmower            | [ INFO] [1697220990.209388549]: GPS quality: 0.913977
mowgli-openmower            | [ INFO] [1697220990.363580239]: MowingBehavior: (MOW) Progress: 318/789
mowgli-openmower            | [ INFO] [1697220995.462860813]: MowingBehavior: (MOW) Progress: 325/789
mowgli-openmower            | [ INFO] [1697221000.563187273]: MowingBehavior: (MOW) Progress: 333/789
mowgli-openmower            | [ INFO] [1697221000.708731789]: GPS quality: 0.910978
mowgli-openmower            | [ERROR] [1697221002.280647987]: FTCLocalPlannerROS: Robot is far away from global plan. distance (1.07246) > config.max_follow_distanc
mowgli-openmower            | [ INFO] [1697221002.281278505]: FTCLocalPlannerROS: Switching to state 4
mowgli-openmower            | [ WARN] [1697221002.283281249]: No velocity command received from controller!
mowgli-openmower            | [ WARN] [1697221005.329561083]: No velocity command received from controller!
mowgli-openmower            | [ INFO] [1697221005.564163196]: MowingBehavior: (MOW) Progress: 336/789
mowgli-openmower            | [ WARN] [1697221007.279943157]: The controller has been aborted after it exceeded the patience time
mowgli-openmower            | [ INFO] [1697221007.356422445]: MowingBehavior: (MOW)  Got status 5 from MBF/FTCPlanner -> Stopping path execution.
mowgli-openmower            | [ INFO] [1697221007.363323207]: >> MowingBehavior: (MOW) PlannerGetProgress currentIndex = 336 of 789
mowgli-openmower            | [ INFO] [1697221007.363504315]: >>> State: Aborted <<<
mowgli-openmower            | [ INFO] [1697221007.364820771]: MowingBehavior (ErrorCatch): Poses before trim:789
mowgli-openmower            | [ INFO] [1697221007.364961532]: MowingBehavior (ErrorCatch): Trimming 336 points.
mowgli-openmower            | [ INFO] [1697221007.365803285]: MowingBehavior (ErrorCatch): Poses after trim:453
mowgli-openmower            | [ INFO] [1697221007.366332908]: MowingBehavior: (MOW) PAUSED due to MBF Error
mowgli-openmower            | [ INFO] [1697221007.372923965]: new actions registered: mower_logic:mowing registered 4 actions.
mowgli-openmower            | [ INFO] [1697221007.375641515]: successfully registered actions for mower_logic:mowing
mowgli-openmower            | [ INFO] [1697221007.376068872]: MowingBehavior: CONTINUING
mowgli-openmower            | [ INFO] [1697221007.381596573]: new actions registered: mower_logic:mowing registered 4 actions.
mowgli-openmower            | [ INFO] [1697221007.384256037]: successfully registered actions for mower_logic:mowing
mowgli-openmower            | [ INFO] [1697221007.385665482]: MowingBehavior: Path segment length: 453 poses.
mowgli-openmower            | [ INFO] [1697221007.385816872]: MowingBehavior: (FIRST POINT)  Moving to path segment starting point
mowgli-openmower            | [ INFO] [1697221007.453139239]: FTCLocalPlannerROS: Got new global plan with 9 points.
mowgli-openmower            | [ INFO] [1697221008.697350579]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
mowgli-openmower            | [ INFO] [1697221008.697653562]: FTCLocalPlannerROS: Switching to state 1
mowgli-openmower            | [ INFO] [1697221010.447737239]: FTCLocalPlannerROS: switching planner to position mode
mowgli-openmower            | [ INFO] [1697221010.447890814]: FTCLocalPlannerROS: Switching to state 2
mowgli-openmower            | [ INFO] [1697221010.497865900]: FTCLocalPlannerROS: Reached goal position.
mowgli-openmower            | [ INFO] [1697221010.498043046]: FTCLocalPlannerROS: Switching to state 3
mowgli-openmower            | [ INFO] [1697221011.208684114]: GPS quality: 0.913977
mowgli-openmower            | [ INFO] [1697221012.297295021]: FTCLocalPlannerROS: POST_ROTATE finished.
mowgli-openmower            | [ INFO] [1697221012.297446133]: FTCLocalPlannerROS: Switching to state 4
mowgli-openmower            | [ INFO] [1697221012.346902557]: Action "move_base" succeeded!
mowgli-openmower            | [ INFO] [1697221012.351691775]: Clearing Nav Point
mowgli-openmower            | [ INFO] [1697221012.351895289]: Map Position: x=-25.6016, y=0.614128
mowgli-openmower            | [ INFO] [1697221012.351970576]: Map Size: x=53.2031, y=39.6388
mowgli-openmower            | [ INFO] [1697221014.446475682]: docking pose: position:
mowgli-openmower            |   x: -2.10117
mowgli-openmower            |   y: 6.30919
mowgli-openmower            |   z: 0
mowgli-openmower            | orientation:
mowgli-openmower            |   x: 0
mowgli-openmower            |   y: 0
mowgli-openmower            |   z: -0.20292
mowgli-openmower            |   w: 0.979195
mowgli-openmower            |
mowgli-openmower            | [ INFO] [1697221014.447707835]: MowingBehavior: (MOW) First point reached - Executing mow path with 453 poses
mowgli-openmower            | [ INFO] [1697221014.480412674]: MowingBehavior: (MOW) Progress: 8/453
mowgli-openmower            | [ INFO] [1697221014.487886118]: FTCLocalPlannerROS: Got new global plan with 453 points.
mowgli-openmower            | [ INFO] [1697221014.489434104]: FTCLocalPlannerROS: PRE_ROTATE finished. Starting following
mowgli-openmower            | [ INFO] [1697221014.489826262]: FTCLocalPlannerROS: Switching to state 1
mowgli-openmower            | [ INFO] [1697221019.453815020]: MowingBehavior: (MOW) Progress: 7/453
