sfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398360.858615586]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398360.858867841]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398361.358670403]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398361.358583831]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398361.771835259]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [ERROR] [1770398361.862326296]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398361.862174873]: successfully set emergency enabled to 1
open_mower_ros  | [INFO] [1770398362.359065148]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398362.359360975]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398362.771808868]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398362.858955270]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398362.859042065]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398363.358664918]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398363.358748490]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398363.772010704]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398363.858881242]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398363.858961944]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [INFO] [1770398364.358991275]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398364.359078718]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
open_mower_ros  | [ERROR] [1770398364.772812296]: >>> [ID=5] Unable to Configure Charger
open_mower_ros  | [INFO] [1770398364.858894758]: successfully set emergency enabled to 1
open_mower_ros  | [ERROR] [1770398364.859316935]: EMERGENCY: at least one motor control errored. errors left: c, status right: c
